old,new
Andalucía,Andalucía
Aragón,Aragón
Asturias,Asturias
Baleares,Baleares
Canarias,Canarias
Cantabria,Cantabria
CastillaLaMancha,Castilla-La Mancha
CastillayLeón,Castilla y León
Cataluña,Cataluña
Ceuta,Ceuta
Extremadura,Extremadura
Galicia,Galicia
LaRioja,La Rioja
Madrid,Madrid
Melilla,Melilla
Murcia,Murcia
Navarra,Navarra
CValenciana,C. Valenciana
PaísVasco,País Vasco
